Designator,Mid X,Mid Y,Rotation,Layer
C1,195.6,-100.5,270.0,top
C2,213.6,-97.5,270.0,top
C3,234.6,-91.5,270.0,top
C4,230.25,-112.5,0.0,top
C5,202.75,-112.5,180.0,top
D1,215.6,-90.5,180.0,top
D4,217.05,-123.5,0.0,top
J1,243.5,-109.21,180.0,top
J2,243.5,-97.735,180.0,top
J3,207.6,-96.5,0.0,top
J4,186.5,-104.37,270.0,top
L2,235.5,-122.5,0.0,top
R1,210.6,-91.5,90.0,top
U1,225.6,-93.5,270.0,top
U2,198.6,-93.5,180.0,top
U3,217.25,-114.1,0.0,top
